id,nombre,sha_1,sha_2,sha_3,sha_4,sha_5,sha_6,sha_7,sha_8,sha_9,sha_10,sha_11,sha_12,dec_1,dec_2,dec_3,dec_4,dec_5,dec_6,dec_7,dec_8,dec_9,dec_10,dec_11,dec_12
1,Alpheratz,357.567,357.568,357.568,357.568,357.567,357.562,357.558,357.553,357.550,357.548,357.548,357.550,29.237,29.237,29.235,29.233,29.233,29.233,29.235,29.237,29.240,29.242,29.243,29.243
2,Caph,357.358,357.362,357.363,357.363,357.360,357.355,357.348,357.342,357.338,357.335,357.337,357.338,59.298,59.298,59.295,59.293,59.292,59.292,59.292,59.295,59.297,59.300,59.303,59.305
3,Algenib,356.355,356.357,356.357,356.357,356.355,356.352,356.347,356.343,356.340,356.338,356.338,356.340,15.330,15.328,15.328,15.328,15.328,15.328,15.330,15.333,15.335,15.335,15.337,15.337
4,Ankaa,353.107,353.108,353.110,353.110,353.108,353.103,353.098,353.095,353.090,353.088,353.088,353.090,-42.168,-42.168,-42.167,-42.165,-42.162,-42.162,-42.162,-42.165,-42.167,-42.168,-42.160,-42.162
5,Schedar,349.502,349.505,349.508,349.508,349.505,349.500,349.493,349.488,349.483,349.480,349.480,349.482,56.685,56.685,56.683,56.680,56.678,56.678,56.678,56.682,56.683,56.687,56.688,56.690
6,Diphda,348.775,348.775,348.777,348.777,348.775,348.772,348.768,348.763,348.760,348.758,348.758,348.760,-17.845,-17.845,-17.845,-17.843,-17.842,-17.840,-17.838,-17.837,-17.837,-17.837,-17.838,-17.838
7,Navi,345.427,345.430,345.433,345.435,345.432,345.427,345.420,345.413,345.407,345.405,345.403,345.405,60.863,60.862,60.862,60.858,60.857,60.857,60.857,60.858,60.860,60.863,60.867,60.868
8,Mirach,342.200,342.202,342.203,342.203,342.202,342.198,342.193,342.190,342.185,342.183,342.182,342.182,35.762,35.762,35.760,35.758,35.758,35.758,35.758,35.760,35.763,35.765,35.767,35.767
9,Achernar,335.323,335.327,335.330,335.333,335.332,335.330,335.323,335.318,335.313,335.310,335.308,335.310,-57.108,-57.108,-57.107,-57.105,-57.102,-57.098,-57.097,-57.095,-57.093,-57.095,-57.100,-57.102
10,Almak,328.620,328.622,328.625,328.627,328.625,328.622,328.618,328.612,328.608,328.605,328.602,328.602,42.458,42.458,42.457,42.455,42.453,42.453,42.455,42.455,42.457,42.458,42.462,42.462
